X_deg,Y_deg,GridCellArea,AUTO,Pop,CurrentHVLineDist,PlannedHVLineDist,TransformerDist,CurrentMVLineDist,PlannedMVLineDist,ResidentialDemandTierCustom,IsUrban,PerCapitaDemand,Productive_demand,Productive_nodes,AgriDemand,Conflict,CommercialDemand,NumPeoplePerHH,TotalEnergyPerCell,MG_Hydro2030,MG_PV2030,MG_Wind2030,MG_Diesel2030,SA_Diesel2030,SA_PV2030,Minimum_Tech_Off_grid2030,Minimum_LCOE_Off_grid2030
34.88229,-16.23275,584.54708,9758,219808.9616,0.18797,0.18797,3.13494,0.10716,0.10716,66.98611111,0,43.8,0,0,0,0,0,5.5,15836739.64,99,0.386548561,99,0.781966918,0.724996087,0.380054457,SA_PV2030,0.380054457
33.789,-13.93602,559.74321,10588,1207479.854,0.04924,0.04924,0.13347,0.13248,0.13248,553.5666667,2,423.4,0,0,0,0,0,5,1103764269,99,0.174466687,99,0.550020461,0.69147722,0.381341531,MG_PV2030,0.174466687
34.55318,-14.10731,553.47656,4201,296260.8153,4.67408,4.67408,1.90218,1.90479,1.90479,259.5381944,0,43.8,0,0,0,0,0,5.5,21344923.17,99,0.35212702,0.600701991,0.753379402,0.759353605,0.364416525,MG_PV2030,0.35212702
34.22809,-14.30203,523.31037,10683,214743.5829,2.556,2.556,3.91402,3.94501,3.94501,47.22222222,0,43.8,0,0,0,0,0,5.5,15471790.54,99,0.385413097,99,0.774219033,0.729186323,0.394313629,MG_PV2030,0.385413097
33.79044,-14.32128,380.73832,10716,165102.2946,30.05831,30.05831,2.39722,1.38185,1.38185,276.8888889,0,43.8,0,0,0,0,0,5.5,11895247.74,99,0.378439412,99,0.769631078,0.735051848,0.388483462,MG_PV2030,0.378439412
35.06293,-15.76484,362.10629,10906,984267.6116,3.58457,3.58457,0.72331,0.73323,0.73323,214.8194444,2,423.4,0,0,0,0,0,5,899724676.5,99,0.189034672,99,0.549549333,0.690639072,0.41595406,MG_PV2030,0.189034672
35.69116,-15.65118,280.19098,10883,170670.1539,49.36102,49.36102,2.83021,2.83021,2.83021,150.3333333,0,43.8,0,0,0,0,0,5.5,12296399.44,99,0.352831465,99,0.74321511,0.748459696,0.386767882,MG_PV2030,0.352831465
35.3955,-15.75902,173.19331,8438,58407.02824,20.8848,20.8848,5.13993,4.09792,4.09792,56.88888889,0,43.8,0,0,0,0,0,5.5,4208094.577,99,0.401345188,99,0.793568425,0.755163369,0.392155694,SA_PV2030,0.392155694
35.46638,-15.42748,96.11517,10807,57403.66283,15.66035,15.66035,1.02904,1.03117,1.03117,115.1746032,0,43.8,0,0,0,0,0,5.5,4135804.364,99,0.356829201,99,0.743218705,0.713264534,0.392937659,MG_PV2030,0.356829201
35.6699,-16.05238,86.18539,9479,72724.95621,12.33884,12.33884,0.30651,0.19017,0.19017,146.6944444,0,43.8,0,0,0,0,0,5.5,5239668.976,99,0.347766887,99,0.720533245,0.729186323,0.421740473,MG_PV2030,0.347766887
35.55441,-15.38853,82.62693,14964,41280.63549,24.43782,24.43782,2.07839,0.08986,0.08986,171.8194444,0,43.8,0,0,0,0,0,5.5,2974176.629,99,0.364233591,99,0.757116884,0.717454267,0.380788862,MG_PV2030,0.364233591
35.09891,-14.28538,80.83851,10446,126513.5333,3.52711,3.52711,0.40759,0.06517,0.06517,68.06018518,0,43.8,0,0,0,0,0,5.5,9115014.571,99,0.25380864,99,0.643565333,0.702370625,0.366279249,MG_PV2030,0.25380864
34.16743,-14.03602,80.05712,16746,36330.73935,6.24044,6.24044,6.30979,6.15688,6.15688,65.64930556,0,43.8,0,0,0,0,0,5.5,2617547.782,99,0.372253265,99,0.765752054,0.735051848,0.382451695,MG_PV2030,0.372253265
35.4811,-15.63319,71.88125,14805,30597.96171,30.19308,30.19308,4.56339,2.4973,2.4973,280.5416667,0,43.8,0,0,0,0,0,5.5,2204514.091,99,0.382017254,99,0.771271971,0.735889995,0.393329812,MG_PV2030,0.382017254
35.07463,-15.98069,70.74538,10947,69857.15885,6.08595,6.08595,0.98185,0.53716,0.53716,349.9444444,0,43.8,0,0,0,0,0,5.5,5033050.648,99,0.285116469,99,0.655745236,0.697342745,0.412255724,MG_PV2030,0.285116469
